UKCP Local derived uplifts for 2050, 100y RL, 1hr Pr OSGB-1936/EPSG:27700
"easting","northing","Uplift_50","Uplift_95"
222500,247500,20,40
227500,247500,20,40
232500,247500,20,40
237500,247500,20,40
242500,247500,20,40
247500,247500,20,40
252500,247500,20,40
257500,247500,20,35
262500,247500,20,40
267500,247500,20,40
272500,247500,20,40
277500,247500,20,40
282500,247500,20,40
287500,247500,20,40
292500,247500,20,35
297500,247500,20,35
302500,247500,20,35
307500,247500,20,35
312500,247500,20,35
317500,247500,20,35
322500,247500,20,35
327500,247500,20,35
332500,247500,20,35
337500,247500,20,35
342500,247500,20,35
347500,247500,20,35
352500,247500,20,35
357500,247500,20,35
362500,247500,20,35
367500,247500,20,35
372500,247500,20,35
377500,247500,20,35
382500,247500,20,35
387500,247500,20,35
392500,247500,20,35
397500,247500,20,35
402500,247500,20,35
407500,247500,20,35
412500,247500,20,35
417500,247500,20,35
422500,247500,20,35
427500,247500,20,35
432500,247500,20,35
437500,247500,20,35
442500,247500,20,35
447500,247500,20,35
452500,247500,20,35
457500,247500,20,35
462500,247500,20,35
467500,247500,20,35
472500,247500,20,35
477500,247500,20,35
482500,247500,20,35
487500,247500,20,35
492500,247500,20,35
497500,247500,20,35
502500,247500,20,35
507500,247500,20,35
512500,247500,20,40
517500,247500,20,40
522500,247500,20,40
527500,247500,20,40
532500,247500,15,40
537500,247500,15,40
542500,247500,15,40
547500,247500,15,40
552500,247500,15,40
557500,247500,15,40
562500,247500,15,40
567500,247500,15,40
572500,247500,15,40
577500,247500,20,40
582500,247500,15,40
587500,247500,15,40
592500,247500,15,40
597500,247500,15,40
602500,247500,15,40
607500,247500,15,40
612500,247500,15,40
617500,247500,15,40
622500,247500,15,40
627500,247500,15,40
632500,247500,15,40
637500,247500,15,45
642500,247500,15,45
217500,252500,20,40
222500,252500,20,40
227500,252500,20,40
232500,252500,20,40
237500,252500,20,40
242500,252500,20,40
247500,252500,20,40
252500,252500,20,40
257500,252500,20,40
262500,252500,20,40
267500,252500,20,40
272500,252500,20,40
277500,252500,20,40
282500,252500,20,40
287500,252500,20,40
292500,252500,20,40
297500,252500,20,35
302500,252500,20,35
307500,252500,20,35
312500,252500,20,35
317500,252500,20,35
322500,252500,20,35
327500,252500,20,35
332500,252500,20,35
337500,252500,20,35
342500,252500,20,35
347500,252500,20,35
352500,252500,20,35
357500,252500,20,35
362500,252500,20,35
367500,252500,20,35
372500,252500,20,35
377500,252500,20,35
382500,252500,20,35
387500,252500,20,35
392500,252500,20,35
397500,252500,20,35
402500,252500,20,35
407500,252500,20,35
412500,252500,20,35
417500,252500,20,35
422500,252500,20,35
427500,252500,20,35
432500,252500,20,35
437500,252500,20,35
442500,252500,20,35
447500,252500,20,35
452500,252500,20,35
457500,252500,20,35
462500,252500,20,35
467500,252500,20,35
472500,252500,20,35
477500,252500,20,35
482500,252500,20,35
487500,252500,20,35
492500,252500,20,35
497500,252500,20,35
502500,252500,20,35
507500,252500,20,35
512500,252500,20,40
517500,252500,20,40
522500,252500,15,40
527500,252500,20,40
532500,252500,20,40
537500,252500,15,40
542500,252500,15,40
547500,252500,15,40
552500,252500,15,40
557500,252500,15,40
562500,252500,15,40
567500,252500,15,40
572500,252500,15,40
577500,252500,15,40
582500,252500,20,40
587500,252500,15,40
592500,252500,15,40
597500,252500,15,40
602500,252500,15,40
607500,252500,15,40
612500,252500,15,40
617500,252500,15,40
622500,252500,15,40
627500,252500,15,45
632500,252500,15,45
637500,252500,15,45
642500,252500,15,45
237500,257500,20,35
242500,257500,20,35
247500,257500,20,40
252500,257500,20,40
257500,257500,20,40
262500,257500,20,40
267500,257500,20,40
272500,257500,20,40
277500,257500,20,40
282500,257500,20,40
287500,257500,20,40
292500,257500,20,40
297500,257500,20,35
302500,257500,20,35
307500,257500,20,35
312500,257500,20,35
317500,257500,20,35
322500,257500,20,35
327500,257500,20,35
332500,257500,20,35
337500,257500,20,35
342500,257500,20,35
347500,257500,20,35
352500,257500,20,35
357500,257500,20,35
362500,257500,20,35
367500,257500,20,35
372500,257500,20,35
377500,257500,20,35
382500,257500,20,35
387500,257500,20,35
392500,257500,20,35
397500,257500,20,35
402500,257500,20,35
407500,257500,20,35
412500,257500,20,35
417500,257500,20,35
422500,257500,20,35
427500,257500,20,35
432500,257500,20,35
437500,257500,20,35
442500,257500,20,35
447500,257500,20,35
452500,257500,20,35
457500,257500,20,35
462500,257500,20,35
467500,257500,20,35
472500,257500,20,35
477500,257500,20,35
482500,257500,20,35
487500,257500,20,35
492500,257500,20,35
497500,257500,20,35
502500,257500,20,35
507500,257500,20,35
512500,257500,20,40
517500,257500,20,40
522500,257500,20,40
527500,257500,15,40
532500,257500,20,40
537500,257500,20,40
542500,257500,15,40
547500,257500,15,40
552500,257500,15,40
557500,257500,15,40
562500,257500,15,40
567500,257500,20,40
572500,257500,15,40
577500,257500,15,40
582500,257500,20,40
587500,257500,15,40
592500,257500,15,40
597500,257500,15,40
602500,257500,15,40
607500,257500,15,40
612500,257500,15,40
617500,257500,15,40
622500,257500,15,40
627500,257500,15,45
632500,257500,15,45
637500,257500,15,45
642500,257500,15,45
647500,257500,15,45
247500,262500,20,35
252500,262500,20,40
257500,262500,20,40
262500,262500,20,40
267500,262500,20,40
272500,262500,20,40
277500,262500,20,40
282500,262500,20,40
287500,262500,20,40
292500,262500,20,40
297500,262500,20,35
302500,262500,20,35
307500,262500,20,35
312500,262500,20,35
317500,262500,20,35
322500,262500,20,35
327500,262500,20,35
332500,262500,20,35
337500,262500,20,35
342500,262500,20,35
347500,262500,20,35
352500,262500,20,35
357500,262500,20,35
362500,262500,20,35
367500,262500,20,35
372500,262500,20,35
377500,262500,20,35
382500,262500,20,35
387500,262500,20,35
392500,262500,20,35
397500,262500,20,35
402500,262500,20,35
407500,262500,20,35
412500,262500,20,35
417500,262500,20,35
422500,262500,20,35
427500,262500,20,35
432500,262500,20,35
437500,262500,20,35
442500,262500,20,35
447500,262500,20,35
452500,262500,20,35
457500,262500,20,35
462500,262500,20,35
467500,262500,20,35
472500,262500,20,35
477500,262500,20,35
482500,262500,20,35
487500,262500,20,35
492500,262500,20,35
497500,262500,20,35
502500,262500,20,40
507500,262500,20,40
512500,262500,20,40
517500,262500,20,40
522500,262500,20,40
527500,262500,20,40
532500,262500,15,40
537500,262500,15,40
542500,262500,15,40
547500,262500,15,40
552500,262500,15,40
557500,262500,15,40
562500,262500,15,40
567500,262500,15,40
572500,262500,20,40
577500,262500,15,40
582500,262500,15,40
587500,262500,15,40
592500,262500,15,40
597500,262500,15,40
602500,262500,15,40
607500,262500,15,40
612500,262500,15,40
617500,262500,15,40
622500,262500,15,40
627500,262500,15,45
632500,262500,15,45
637500,262500,15,45
642500,262500,15,45
647500,262500,15,45
252500,267500,20,35
257500,267500,20,40
262500,267500,20,40
267500,267500,20,40
272500,267500,20,40
277500,267500,20,40
282500,267500,20,40
287500,267500,20,40
292500,267500,20,40
297500,267500,20,35
302500,267500,20,35
307500,267500,20,35
312500,267500,20,35
317500,267500,20,35
322500,267500,20,35
327500,267500,20,35
332500,267500,20,35
337500,267500,20,35
342500,267500,20,35
347500,267500,20,35
352500,267500,20,35
357500,267500,20,35
362500,267500,20,35
367500,267500,20,35
372500,267500,20,35
377500,267500,20,35
382500,267500,20,35
387500,267500,20,35
392500,267500,20,35
397500,267500,20,35
402500,267500,20,35
407500,267500,20,35
412500,267500,20,35
417500,267500,20,35
422500,267500,20,35
427500,267500,20,35
432500,267500,20,35
437500,267500,20,35
442500,267500,20,35
447500,267500,20,35
452500,267500,20,35
457500,267500,20,35
462500,267500,20,35
467500,267500,20,35
472500,267500,20,35
477500,267500,20,35
482500,267500,20,35
487500,267500,20,35
492500,267500,20,35
497500,267500,20,35
502500,267500,20,35
507500,267500,20,35
512500,267500,20,40
517500,267500,15,40
522500,267500,15,40
527500,267500,20,40
532500,267500,20,40
537500,267500,20,40
542500,267500,20,40
547500,267500,20,40
552500,267500,20,40
557500,267500,15,40
562500,267500,15,40
567500,267500,20,40
572500,267500,15,40
577500,267500,15,40
582500,267500,15,40
587500,267500,20,40
592500,267500,15,40
597500,267500,20,40
602500,267500,15,40
607500,267500,15,40
612500,267500,15,40
617500,267500,15,40
622500,267500,15,40
627500,267500,15,45
632500,267500,15,45
637500,267500,15,45
642500,267500,15,45
647500,267500,15,45
257500,272500,20,35
262500,272500,20,40
267500,272500,20,40
272500,272500,20,40
277500,272500,20,40
282500,272500,20,40
287500,272500,20,40
292500,272500,20,40
297500,272500,20,35
302500,272500,20,35
307500,272500,20,35
312500,272500,20,35
317500,272500,20,35
322500,272500,20,35
327500,272500,20,35
332500,272500,20,35
337500,272500,20,35
342500,272500,20,35
347500,272500,20,35
352500,272500,20,35
357500,272500,20,35
362500,272500,20,35
367500,272500,20,35
372500,272500,20,35
377500,272500,20,35
382500,272500,20,35
387500,272500,20,35
392500,272500,20,35
397500,272500,20,35
402500,272500,20,35
407500,272500,20,35
412500,272500,20,35
417500,272500,20,35
422500,272500,20,35
427500,272500,20,35
432500,272500,20,35
437500,272500,20,35
442500,272500,20,35
447500,272500,20,35
452500,272500,20,35
457500,272500,20,35
462500,272500,20,35
467500,272500,20,35
472500,272500,20,35
477500,272500,20,35
482500,272500,20,35
487500,272500,20,35
492500,272500,20,35
497500,272500,20,35
502500,272500,20,35
507500,272500,20,35
512500,272500,20,40
517500,272500,20,40
522500,272500,15,40
527500,272500,20,40
532500,272500,20,40
537500,272500,15,40
542500,272500,20,40
547500,272500,20,40
552500,272500,15,40
557500,272500,15,40
562500,272500,15,40
567500,272500,20,40
572500,272500,15,40
577500,272500,15,40
582500,272500,15,40
587500,272500,20,40
592500,272500,20,40
597500,272500,15,40
602500,272500,20,40
607500,272500,15,40
612500,272500,15,40
617500,272500,15,40
622500,272500,20,40
627500,272500,15,40
632500,272500,15,45
637500,272500,15,45
642500,272500,15,45
647500,272500,15,45
257500,277500,20,35
262500,277500,20,40
267500,277500,20,40
272500,277500,20,40
277500,277500,20,40
282500,277500,20,40
287500,277500,20,40
292500,277500,20,40
297500,277500,20,35
302500,277500,20,35
307500,277500,20,35
312500,277500,20,35
317500,277500,20,35
322500,277500,20,35
327500,277500,20,35
332500,277500,20,35
337500,277500,20,35
342500,277500,20,35
347500,277500,20,35
352500,277500,20,35
357500,277500,20,35
362500,277500,20,35
367500,277500,20,35
372500,277500,20,35
377500,277500,20,35
382500,277500,20,35
387500,277500,20,35
392500,277500,20,35
397500,277500,20,35
402500,277500,20,35
407500,277500,20,35
412500,277500,20,35
417500,277500,20,35
422500,277500,20,35
427500,277500,20,35
432500,277500,20,35
437500,277500,20,35
442500,277500,20,35
447500,277500,20,35
452500,277500,20,35
457500,277500,20,35
462500,277500,20,35
467500,277500,20,35
472500,277500,20,35
477500,277500,20,35
482500,277500,20,35
487500,277500,20,35
492500,277500,20,35
497500,277500,20,35
502500,277500,20,35
507500,277500,20,35
512500,277500,20,40
517500,277500,20,40
522500,277500,15,40
527500,277500,20,40
532500,277500,20,40
537500,277500,20,40
542500,277500,20,40
547500,277500,15,40
552500,277500,15,40
557500,277500,15,40
562500,277500,15,40
567500,277500,20,40
572500,277500,15,40
577500,277500,15,40
582500,277500,15,40
587500,277500,20,40
592500,277500,15,40
597500,277500,15,40
602500,277500,20,40
607500,277500,20,40
612500,277500,15,40
617500,277500,15,40
622500,277500,20,40
627500,277500,20,40
632500,277500,20,45
637500,277500,20,45
642500,277500,20,45
647500,277500,15,45
652500,277500,15,45
257500,282500,20,40
262500,282500,20,40
267500,282500,20,40
272500,282500,20,40
277500,282500,25,45
282500,282500,25,45
287500,282500,20,40
292500,282500,20,40
297500,282500,20,35
302500,282500,20,35
307500,282500,20,35
312500,282500,20,35
317500,282500,20,35
322500,282500,20,35
327500,282500,20,35
332500,282500,20,35
337500,282500,20,35
342500,282500,20,35
347500,282500,20,35
352500,282500,20,35
357500,282500,20,35
362500,282500,20,35
367500,282500,20,35
372500,282500,20,35
377500,282500,20,35
382500,282500,20,35
387500,282500,20,35
392500,282500,20,35
397500,282500,20,35
402500,282500,20,35
407500,282500,20,35
412500,282500,20,35
417500,282500,20,35
422500,282500,20,35
427500,282500,20,35
432500,282500,20,35
437500,282500,20,35
442500,282500,20,35
447500,282500,20,35
452500,282500,20,35
457500,282500,20,35
462500,282500,20,35
467500,282500,20,35
472500,282500,20,35
477500,282500,20,35
482500,282500,20,35
487500,282500,20,35
492500,282500,20,35
497500,282500,20,35
502500,282500,20,35
507500,282500,20,35
512500,282500,20,35
517500,282500,20,40
522500,282500,20,40
527500,282500,20,40
532500,282500,20,40
537500,282500,20,40
542500,282500,20,40
547500,282500,15,40
552500,282500,15,40
557500,282500,15,40
562500,282500,15,40
567500,282500,15,40
572500,282500,20,40
577500,282500,15,40
582500,282500,15,40
587500,282500,20,40
592500,282500,20,40
597500,282500,20,40
602500,282500,20,40
607500,282500,20,40
612500,282500,20,40
617500,282500,20,40
622500,282500,20,40
627500,282500,20,40
632500,282500,20,45
637500,282500,20,45
642500,282500,20,45
647500,282500,15,45
652500,282500,20,45
262500,287500,20,40
267500,287500,20,40
272500,287500,25,40
277500,287500,25,45
282500,287500,25,45
287500,287500,20,40
292500,287500,20,40
297500,287500,20,35
302500,287500,20,35
307500,287500,20,35
312500,287500,20,35
317500,287500,20,35
322500,287500,20,35
327500,287500,20,35
332500,287500,20,35
337500,287500,20,35
342500,287500,20,35
347500,287500,20,35
352500,287500,20,35
357500,287500,20,35
362500,287500,20,35
367500,287500,20,35
372500,287500,20,35
377500,287500,20,35
382500,287500,20,35
387500,287500,20,35
392500,287500,20,35
397500,287500,20,35
402500,287500,20,35
407500,287500,20,35
412500,287500,20,35
417500,287500,20,35
422500,287500,20,35
427500,287500,20,35
432500,287500,20,35
437500,287500,20,35
442500,287500,20,35
447500,287500,20,35
452500,287500,20,35
457500,287500,20,35
462500,287500,20,35
467500,287500,20,35
472500,287500,20,35
477500,287500,20,35
482500,287500,20,35
487500,287500,20,35
492500,287500,20,35
497500,287500,20,35
502500,287500,20,35
507500,287500,20,40
512500,287500,20,40
517500,287500,20,40
522500,287500,20,40
527500,287500,20,40
532500,287500,20,40
537500,287500,20,40
542500,287500,20,40
547500,287500,15,40
552500,287500,15,40
557500,287500,15,40
562500,287500,15,40
567500,287500,15,40
572500,287500,15,40
577500,287500,20,40
582500,287500,20,40
587500,287500,20,40
592500,287500,20,40
597500,287500,20,40
602500,287500,20,40
607500,287500,20,40
612500,287500,20,40
617500,287500,20,40
622500,287500,20,40
627500,287500,20,40
632500,287500,20,45
637500,287500,15,45
642500,287500,15,45
647500,287500,15,45
652500,287500,15,45
262500,292500,20,40
267500,292500,20,40
272500,292500,25,40
277500,292500,25,45
282500,292500,20,45
287500,292500,20,40
292500,292500,20,40
297500,292500,20,35
302500,292500,20,35
307500,292500,20,35
312500,292500,20,35
317500,292500,20,35
322500,292500,20,35
327500,292500,20,35
332500,292500,20,35
337500,292500,20,35
342500,292500,20,35
347500,292500,20,35
352500,292500,20,35
357500,292500,20,35
362500,292500,20,35
367500,292500,20,35
372500,292500,20,35
377500,292500,20,35
382500,292500,20,35
387500,292500,20,35
392500,292500,20,35
397500,292500,20,35
402500,292500,20,35
407500,292500,20,35
412500,292500,20,35
417500,292500,20,35
422500,292500,20,35
427500,292500,20,35
432500,292500,20,35
437500,292500,20,35
442500,292500,20,35
447500,292500,20,35
452500,292500,20,35
457500,292500,20,35
462500,292500,20,35
467500,292500,20,35
472500,292500,20,35
477500,292500,20,35
482500,292500,20,35
487500,292500,20,35
492500,292500,20,35
497500,292500,20,35
502500,292500,20,35
507500,292500,20,35
512500,292500,20,40
517500,292500,20,40
522500,292500,20,40
527500,292500,20,40
532500,292500,20,40
537500,292500,20,40
542500,292500,20,40
547500,292500,15,40
552500,292500,20,40
557500,292500,15,40
562500,292500,15,40
567500,292500,15,40
572500,292500,20,40
577500,292500,20,40
582500,292500,20,40
587500,292500,20,40
592500,292500,20,40
597500,292500,20,40
602500,292500,20,40
607500,292500,20,40
612500,292500,20,40
617500,292500,20,40
622500,292500,20,40
627500,292500,20,40
632500,292500,20,45
637500,292500,20,45
642500,292500,15,45
647500,292500,15,45
652500,292500,15,45
257500,297500,20,40
262500,297500,20,40
267500,297500,20,40
272500,297500,20,40
277500,297500,20,40
282500,297500,20,40
287500,297500,20,40
292500,297500,20,40
297500,297500,20,35
302500,297500,20,35
307500,297500,20,35
312500,297500,20,35
317500,297500,20,35
322500,297500,20,35
327500,297500,20,35
332500,297500,20,35
337500,297500,20,35
342500,297500,20,35
347500,297500,20,35
352500,297500,20,35
357500,297500,20,35
362500,297500,20,35
367500,297500,20,35
372500,297500,20,35
377500,297500,20,35
382500,297500,20,35
387500,297500,20,35
392500,297500,20,35
397500,297500,20,35
402500,297500,20,35
407500,297500,20,35
412500,297500,20,35
417500,297500,20,35
422500,297500,20,35
427500,297500,20,35
432500,297500,20,35
437500,297500,20,35
442500,297500,20,35
447500,297500,20,35
452500,297500,20,35
457500,297500,20,35
462500,297500,20,35
467500,297500,20,35
472500,297500,20,35
477500,297500,20,35
482500,297500,20,35
487500,297500,20,35
492500,297500,20,35
497500,297500,20,35
502500,297500,20,35
507500,297500,20,35
512500,297500,20,40
517500,297500,20,40
522500,297500,20,40
527500,297500,20,40
532500,297500,20,40
537500,297500,20,40
542500,297500,15,40
547500,297500,20,40
552500,297500,20,40
557500,297500,20,40
562500,297500,15,40
567500,297500,15,40
572500,297500,20,40
577500,297500,20,40
582500,297500,20,40
587500,297500,20,40
592500,297500,20,40
597500,297500,20,40
602500,297500,20,40
607500,297500,20,40
612500,297500,20,40
617500,297500,20,40
622500,297500,20,45
627500,297500,20,40
632500,297500,15,40
637500,297500,15,45
642500,297500,15,45
647500,297500,15,45
652500,297500,15,45
257500,302500,20,40
262500,302500,20,40
267500,302500,25,45
272500,302500,25,45
277500,302500,20,40
282500,302500,20,40
287500,302500,20,40
292500,302500,20,40
297500,302500,20,40
302500,302500,20,35
307500,302500,20,35
312500,302500,20,35
317500,302500,20,35
322500,302500,20,35
327500,302500,20,35
332500,302500,20,35
337500,302500,20,35
342500,302500,20,35
347500,302500,20,35
352500,302500,20,35
357500,302500,20,35
362500,302500,20,35
367500,302500,20,35
372500,302500,20,35
377500,302500,20,35
382500,302500,20,35
387500,302500,20,35
392500,302500,20,35
397500,302500,20,35
402500,302500,20,35
407500,302500,20,35
412500,302500,20,35
417500,302500,20,35
422500,302500,20,35
427500,302500,20,35
432500,302500,20,35
437500,302500,20,35
442500,302500,20,35
447500,302500,20,35
452500,302500,20,35
457500,302500,20,35
462500,302500,20,35
467500,302500,20,35
472500,302500,20,35
477500,302500,20,35
482500,302500,20,35
487500,302500,20,35
492500,302500,20,35
497500,302500,20,35
502500,302500,20,35
507500,302500,20,40
512500,302500,20,40
517500,302500,20,40
522500,302500,20,40
527500,302500,20,40
532500,302500,20,40
537500,302500,20,40
542500,302500,20,40
547500,302500,20,40
552500,302500,20,40
557500,302500,20,40
562500,302500,20,40
567500,302500,20,40
572500,302500,20,40
577500,302500,20,40
582500,302500,20,40
587500,302500,20,40
592500,302500,20,40
597500,302500,20,40
602500,302500,20,40
607500,302500,20,40
612500,302500,20,40
617500,302500,20,40
622500,302500,20,45
627500,302500,20,40
632500,302500,20,40
637500,302500,20,45
642500,302500,15,45
647500,302500,15,45
652500,302500,20,45
257500,307500,20,40
262500,307500,20,40
267500,307500,25,40
272500,307500,25,45
277500,307500,25,45
282500,307500,20,40
287500,307500,20,40
292500,307500,20,40
297500,307500,20,40
302500,307500,20,35
307500,307500,20,35
312500,307500,20,35
317500,307500,20,35
322500,307500,20,35
327500,307500,20,35
332500,307500,20,35
337500,307500,20,35
342500,307500,20,35
347500,307500,20,35
352500,307500,20,35
357500,307500,20,35
362500,307500,20,35
367500,307500,20,35
372500,307500,20,35
377500,307500,20,35
382500,307500,20,35
387500,307500,20,35
392500,307500,20,35
397500,307500,20,35
402500,307500,20,35
407500,307500,20,35
412500,307500,20,35
417500,307500,20,35
422500,307500,20,35
427500,307500,20,35
432500,307500,20,35
437500,307500,20,35
442500,307500,20,35
447500,307500,20,35
452500,307500,20,35
457500,307500,20,35
462500,307500,20,35
467500,307500,20,35
472500,307500,20,35
477500,307500,20,35
482500,307500,20,35
487500,307500,20,35
492500,307500,20,35
497500,307500,20,35
502500,307500,20,35
507500,307500,20,35
512500,307500,20,40
517500,307500,20,40
522500,307500,20,40
527500,307500,20,40
532500,307500,20,40
537500,307500,20,40
542500,307500,20,40
547500,307500,20,40
552500,307500,20,40
557500,307500,20,40
562500,307500,20,40
567500,307500,20,40
572500,307500,20,40
577500,307500,20,40
582500,307500,20,40
587500,307500,20,40
592500,307500,20,40
597500,307500,20,40
602500,307500,20,40
607500,307500,20,40
612500,307500,20,40
617500,307500,20,40
622500,307500,20,45
627500,307500,20,45
632500,307500,20,45
637500,307500,20,45
642500,307500,20,45
647500,307500,20,45
652500,307500,20,45
262500,312500,20,40
267500,312500,25,40
272500,312500,25,45
277500,312500,25,45
282500,312500,25,40
287500,312500,20,40
292500,312500,20,40
297500,312500,20,40
302500,312500,20,35
307500,312500,20,35
312500,312500,20,35
317500,312500,20,35
322500,312500,20,35
327500,312500,20,35
332500,312500,20,35
337500,312500,20,35
342500,312500,20,35
347500,312500,20,35
352500,312500,20,35
357500,312500,20,35
362500,312500,20,35
367500,312500,20,35
372500,312500,20,35
377500,312500,20,35
382500,312500,20,35
387500,312500,20,35
392500,312500,20,35
397500,312500,20,35
402500,312500,20,35
407500,312500,20,35
412500,312500,20,35
417500,312500,20,35
422500,312500,20,35
427500,312500,20,35
432500,312500,20,35
437500,312500,20,35
442500,312500,20,35
447500,312500,20,35
452500,312500,20,35
457500,312500,20,35
462500,312500,20,35
467500,312500,20,35
472500,312500,20,35
477500,312500,20,35
482500,312500,20,35
487500,312500,20,35
492500,312500,20,35
497500,312500,20,35
502500,312500,20,35
507500,312500,20,35
512500,312500,20,40
517500,312500,20,40
522500,312500,20,40
527500,312500,20,40
532500,312500,20,40
537500,312500,20,40
542500,312500,20,40
547500,312500,20,40
552500,312500,20,40
557500,312500,20,40
562500,312500,20,40
567500,312500,20,40
572500,312500,20,40
577500,312500,20,40
582500,312500,20,40
587500,312500,20,40
592500,312500,20,40
597500,312500,20,40
602500,312500,20,40
607500,312500,20,40
612500,312500,20,40
617500,312500,20,40
622500,312500,20,45
627500,312500,20,45
632500,312500,20,45
637500,312500,20,45
642500,312500,20,45
647500,312500,20,45
652500,312500,20,45
262500,317500,20,40
267500,317500,25,40
272500,317500,25,40
277500,317500,20,40
282500,317500,25,45
287500,317500,20,40
292500,317500,20,40
297500,317500,20,40
302500,317500,20,40
307500,317500,20,35
312500,317500,20,35
317500,317500,20,35
322500,317500,20,35
327500,317500,20,35
332500,317500,20,35
337500,317500,20,35
342500,317500,20,35
347500,317500,20,35
352500,317500,20,35
357500,317500,20,35
362500,317500,20,35
367500,317500,20,35
372500,317500,20,35
377500,317500,20,35
382500,317500,20,35
387500,317500,20,35
392500,317500,20,35
397500,317500,20,35
402500,317500,20,35
407500,317500,20,35
412500,317500,20,35
417500,317500,20,35
422500,317500,20,35
427500,317500,20,35
432500,317500,20,35
437500,317500,20,35
442500,317500,20,35
447500,317500,20,35
452500,317500,20,35
457500,317500,20,35
462500,317500,20,35
467500,317500,20,35
472500,317500,20,35
477500,317500,20,35
482500,317500,20,35
487500,317500,20,35
492500,317500,20,35
497500,317500,20,35
502500,317500,20,35
507500,317500,20,35
512500,317500,20,40
517500,317500,20,40
522500,317500,20,40
527500,317500,20,40
532500,317500,20,40
537500,317500,20,40
542500,317500,20,40
547500,317500,20,40
552500,317500,20,40
557500,317500,20,40
562500,317500,20,40
567500,317500,20,40
572500,317500,20,40
577500,317500,20,40
582500,317500,20,40
587500,317500,20,40
592500,317500,20,40
597500,317500,20,40
602500,317500,20,40
607500,317500,20,40
612500,317500,20,40
617500,317500,20,40
622500,317500,20,40
627500,317500,20,45
632500,317500,20,45
637500,317500,20,45
642500,317500,20,45
647500,317500,20,45
257500,322500,20,40
262500,322500,25,40
267500,322500,25,45
272500,322500,25,45
277500,322500,25,40
282500,322500,25,40
287500,322500,25,45
292500,322500,20,45
297500,322500,20,40
302500,322500,20,40
307500,322500,20,35
312500,322500,20,35
317500,322500,20,35
322500,322500,20,35
327500,322500,20,35
332500,322500,20,35
337500,322500,20,35
342500,322500,20,35
347500,322500,20,35
352500,322500,20,35
357500,322500,20,35
362500,322500,20,35
367500,322500,20,35
372500,322500,20,35
377500,322500,20,35
382500,322500,20,35
387500,322500,20,35
392500,322500,20,35
397500,322500,20,35
402500,322500,20,35
407500,322500,20,35
412500,322500,20,35
417500,322500,20,35
422500,322500,20,35
427500,322500,20,35
432500,322500,20,35
437500,322500,20,35
442500,322500,20,35
447500,322500,20,35
452500,322500,20,35
457500,322500,20,35
462500,322500,20,35
467500,322500,20,35
472500,322500,20,35
477500,322500,20,35
482500,322500,20,35
487500,322500,20,35
492500,322500,20,35
497500,322500,20,35
502500,322500,20,35
507500,322500,20,40
512500,322500,20,40
517500,322500,20,40
522500,322500,20,40
527500,322500,20,40
532500,322500,20,40
537500,322500,20,40
542500,322500,20,40
547500,322500,20,40
552500,322500,20,40
557500,322500,20,40
562500,322500,20,40
567500,322500,20,40
572500,322500,20,40
577500,322500,20,40
582500,322500,20,40
587500,322500,20,40
592500,322500,20,40
597500,322500,20,40
602500,322500,20,40
607500,322500,20,40
612500,322500,20,40
617500,322500,20,40
622500,322500,20,40
627500,322500,20,45
632500,322500,20,45
637500,322500,20,45
642500,322500,20,45
647500,322500,20,45
217500,327500,20,35
222500,327500,20,40
227500,327500,20,35
232500,327500,20,35
257500,327500,20,40
262500,327500,25,40
267500,327500,25,45
272500,327500,25,45
277500,327500,25,45
282500,327500,25,45
287500,327500,20,40
292500,327500,20,40
297500,327500,20,40
302500,327500,20,40
307500,327500,20,40
312500,327500,20,35
317500,327500,20,35
322500,327500,20,35
327500,327500,20,35
332500,327500,20,35
337500,327500,20,35
342500,327500,20,35
347500,327500,20,35
352500,327500,20,35
357500,327500,20,35
362500,327500,20,35
367500,327500,20,35
372500,327500,20,35
377500,327500,20,35
382500,327500,20,35
387500,327500,20,35
392500,327500,20,35
397500,327500,20,35
402500,327500,20,35
407500,327500,20,35
412500,327500,20,35
417500,327500,20,35
422500,327500,20,35
427500,327500,20,35
432500,327500,20,35
437500,327500,20,35
442500,327500,20,35
447500,327500,20,35
452500,327500,20,35
457500,327500,20,35
462500,327500,20,35
467500,327500,20,35
472500,327500,20,35
477500,327500,20,35
482500,327500,20,35
487500,327500,20,35
492500,327500,20,35
497500,327500,20,35
502500,327500,20,35
507500,327500,20,40
512500,327500,20,40
517500,327500,20,40
522500,327500,20,40
527500,327500,20,40
532500,327500,20,40
537500,327500,20,40
542500,327500,20,40
547500,327500,20,40
562500,327500,20,40
567500,327500,20,40
572500,327500,20,40
577500,327500,20,40
582500,327500,20,40
587500,327500,20,40
592500,327500,20,40
597500,327500,20,40
602500,327500,20,40
607500,327500,20,40
612500,327500,20,40
617500,327500,20,40
622500,327500,20,40
627500,327500,20,45
632500,327500,20,45
637500,327500,20,45
642500,327500,20,45
217500,332500,20,35
222500,332500,20,35
227500,332500,20,40
232500,332500,20,40
257500,332500,20,40
262500,332500,25,40
267500,332500,25,45
272500,332500,25,40
277500,332500,25,45
282500,332500,25,45
287500,332500,20,40
292500,332500,20,40
297500,332500,20,40
302500,332500,20,40
307500,332500,20,40
312500,332500,20,40
317500,332500,20,35
322500,332500,20,35
327500,332500,20,35
332500,332500,20,35
337500,332500,20,35
342500,332500,20,35
347500,332500,20,35
352500,332500,20,35
357500,332500,20,35
